Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9432839487090234,0.9754990925589835
CAD,0.8265435767076607,0.832121212121212
CHF,1.0,1.0
Depression,0.640960020483605,0.7732320280537698
Diabetes,0.9068206157503298,0.9242481203007518
Gallstones,0.5005453788865204,0.7317796610169491
GERD,0.5118713708870122,0.6592687074829933
Gout,0.624595359185345,0.8088983050847458
Hypercholesterolemia,0.7556565070792157,0.7589019607843137
Hypertension,0.7726911102932872,0.8625087351502447
Hypertriglyceridemia,0.565098845421944,0.9063997662185856
OA,0.5563494996138256,0.762844611528822
Obesity,0.9416737145821704,0.943896103896104
OSA,0.7785342333572363,0.8898305084745763
PVD,0.7270463408588627,0.8453571428571429
Venous_Insufficiency,0.5297880179388947,0.8403846153846153
