Morbidity Class,KNN1_Macro F1,KNN1_Micro F1,KNN5_Macro F1,KNN5_Micro F1
Asthma,0.5493085406406869,0.8005142165759226,0.5158919267014659,0.8723835450695706
CAD,0.6109151007355721,0.6478114478114477,0.6303355934665336,0.6823232323232322
CHF,1.0,1.0,1.0,1.0
Depression,0.5826743254551875,0.7265926358854471,0.507735587845991,0.7715078901227352
Diabetes,0.555197640947014,0.6422305764411027,0.527279998409862,0.6897243107769424
Gallstones,0.5326066256660188,0.7571468926553673,0.46703694408524543,0.8211299435028249
GERD,0.5231946167961596,0.6406462585034014,0.50253067253452,0.708503401360544
Gout,0.5488266922739615,0.8001129943502825,0.5391078310006648,0.8623446327683617
Hypercholesterolemia,0.5791796275120629,0.585764705882353,0.5880553239949649,0.6036470588235294
Hypertension,0.524085004143725,0.7120195667365479,0.49662700195907766,0.7928721174004194
Hypertriglyceridemia,0.49544397700200166,0.8723261250730566,0.4854267614497737,0.9438924605493864
OA,0.4843202283404204,0.7041666666666666,0.4778955759936845,0.7839598997493734
Obesity,0.5587142788336139,0.5858116883116884,0.5415693242658817,0.5893506493506494
OSA,0.5536139878478259,0.8,0.5030914156452101,0.8423728813559321
PVD,0.5756811614665487,0.7553246753246753,0.5368370992728649,0.8166233766233766
Venous_Insufficiency,0.5280150959704315,0.8328374455732945,0.47750602118200264,0.9145137880986937
