Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.4672986632039369,0.8776164549304294
CAD,0.6967175611231717,0.7372727272727273
CHF,1.0,1.0
Depression,0.46562466393892094,0.790385739333723
Diabetes,0.4349117654634539,0.7039160401002507
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.6035453543067936,0.6074509803921568
Hypertension,0.4460153333840456,0.8061495457721873
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.452141711885941,0.8264724310776941
Obesity,0.5712137551808124,0.5986363636363636
OSA,0.5067399148426003,0.864406779661017
PVD,0.45720052093954766,0.8435389610389612
Venous_Insufficiency,0.47801077753999144,0.9164368650217707
