Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.4820180722352726,0.8793405928614639
CAD,0.9052799236410793,0.9124242424242425
CHF,1.0,1.0
Depression,0.49123405779518536,0.8006721215663355
Diabetes,0.8895040879324754,0.9120300751879699
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4316914037744105,0.7618197278911565
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.8108117791594097,0.8127058823529412
Hypertension,0.5025658597464484,0.81743535988819
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.46509042983465887,0.8282581453634086
Obesity,0.8954835813255642,0.9023376623376622
OSA,0.5226867550525195,0.8661016949152541
PVD,0.5975487281452079,0.866883116883117
Venous_Insufficiency,0.47801077753999144,0.9164368650217707
