Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.5225068648294371,0.8846037507562009
CAD,0.7696503244916428,0.7846127946127945
CHF,1,1
Depression,0.4479906483614046,0.7921098772647575
Diabetes,0.5955103499989671,0.7531641604010025
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.6885011312591265,0.6912941176470588
Hypertension,0.4460153333840456,0.8061495457721873
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.48144010891613476,0.831766917293233
Obesity,0.656574344759824,0.6999025974025974
OSA,0.5331553768895068,0.8677966101694915
PVD,0.45720052093954766,0.8435389610389612
Venous_Insufficiency,0.47801077753999144,0.9164368650217707
