Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.4672986632039369,0.8776164549304294
CAD,0.7095810085794834,0.7464646464646465
CHF,1.0,1.0
Depression,0.46329019107041497,0.793834015195792
Diabetes,0.4217886390468421,0.6985902255639098
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.6075275359905778,0.611450980392157
Hypertension,0.4460153333840456,0.8061495457721873
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.452141711885941,0.8264724310776941
Obesity,0.5809794115574186,0.60762987012987
OSA,0.47097648456350083,0.8593220338983052
PVD,0.45720052093954766,0.8435389610389612
Venous_Insufficiency,0.47801077753999144,0.9164368650217707
Average,0.5248375455171839,0.8136019947255455
