Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.49245763267483306,0.8810949788263762
CAD,0.9178062504459759,0.9233333333333335
CHF,1.0,1.0
Depression,0.5138524072645619,0.8058153126826418
Diabetes,0.8739219960299753,0.901441102756892
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.8400652419091632,0.8425490196078431
Hypertension,0.50500773716472,0.81743535988819
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.46509042983465887,0.8282581453634086
Obesity,0.9076256375579452,0.913116883116883
OSA,0.5519158380668717,0.8711864406779661
PVD,0.5783369875048958,0.8632792207792208
Venous_Insufficiency,0.47801077753999144,0.9164368650217707
Average,0.6229175866566771,0.8746295342610958
