Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.5225068648294371,0.8846037507562009
CAD,0.7868574299300988,0.7992929292929294
CHF,1,1
Depression,0.4408968801610552,0.790385739333723
Diabetes,0.5674367863634473,0.7425751879699248
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.7078564758149838,0.7111764705882353
Hypertension,0.4460153333840456,0.8061495457721873
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.4902189868039235,0.8335526315789472
Obesity,0.6707883459599022,0.7142857142857142
OSA,0.5351769112187663,0.8677966101694915
PVD,0.4653372730762998,0.8453246753246754
Venous_Insufficiency,0.47801077753999144,0.9164368650217707
Average,0.5596057822246995,0.8338566253885503
