Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9546519505256145,0.9551683168316831
CAD,0.8536166138521624,0.8553846153846155
CHF,1,1
Depression,0.8789546355205691,0.8804347826086957
Diabetes,0.9415394268987483,0.9418987341772151
Gallstones,0.8418077579457431,0.8438167346146379
GERD,0.7426973329922422,0.7459639639639639
Gout,0.8619235790717091,0.8639563106796118
Hypercholesterolemia,0.7887266869489515,0.7937590711175617
Hypertension,0.8911970333727945,0.8925444596443229
Hypertriglyceridemia,0.945252977689446,0.9458804258804259
OA,0.8196732468910367,0.822214596202242
Obesity,0.9432760011252702,0.9442652329749104
OSA,0.9406587928705015,0.9416715200931858
PVD,0.9252121299875503,0.9275680622283231
Venous_Insufficiency,0.9003260012570428,0.9014390034364259
Average,0.8893446354343363,0.8909978643648638
