Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.982949432351044,0.9830792079207921
CAD,0.8788746494172424,0.8800000000000001
CHF,1,1
Depression,0.8730537361240451,0.8750000000000002
Diabetes,0.9415977101374594,0.9419145569620253
Gallstones,0.810041114069574,0.8123568239176858
GERD,0.6948447518441988,0.6964324324324324
Gout,0.8493806498565263,0.8514096340552652
Hypercholesterolemia,0.8121369296005871,0.8149129172714078
Hypertension,0.9207819746842862,0.921751025991792
Hypertriglyceridemia,0.6760210420733136,0.6895004095004096
OA,0.7976070020299388,0.7997940974605353
Obesity,0.9577247515422492,0.958653353814644
OSA,0.9465086492652558,0.9476024072995534
PVD,0.9302270287872606,0.9318462594371997
Venous_Insufficiency,0.9283368225175279,0.9294566151202748
Overall-Average,0.875005390268782,0.8771068588240011
