Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9597104872709916,0.9601584158415843
CAD,0.8757710466742681,0.876923076923077
CHF,1,1
Depression,0.8857780990267348,0.8869565217391304
Diabetes,0.9442102840154296,0.9445727848101265
Gallstones,0.8453967927481836,0.8478353717724714
GERD,0.7575748844168186,0.7635675675675676
Gout,0.875802855748414,0.8773898431665422
Hypercholesterolemia,0.8287235177545668,0.8338171262699564
Hypertension,0.9270237623140775,0.9277291381668947
Hypertriglyceridemia,0.9362513173285096,0.9368632268632269
OA,0.8281444919173604,0.8307366735300846
Obesity,0.9494500459279754,0.9505888376856119
OSA,0.9396224479248236,0.940691127936323
PVD,0.930127586180815,0.9317776252573783
Venous_Insufficiency,0.9283500714209497,0.9294351374570446
Overall-Average,0.9007461056668699,0.9024401546866887
