Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.967920420055783,0.8656716417910447
CAD,0.8485928770680012,0.8721109399075501
CHF,1,1
Depression,0.8384879725085911,0.6147540983606558
Diabetes,0.9325130690998954,0.9525
Gallstones,0.7589255040932346,0.2210526315789474
GERD,0.6721002899093576,0.3346938775510204
Gout,0.8006486491331412,0.25766871165644173
Hypercholesterolemia,0.8108208763579058,0.8169556840077071
Hypertension,0.8945386064030133,0.9345794392523366
Hypertriglyceridemia,0.912881938983248,0.17241379310344826
OA,0.726290358715385,0.24644549763033177
Obesity,0.9566003616636528,0.9497907949790795
OSA,0.8992858081348424,0.6511627906976744
PVD,0.9001965811803075,0.6853932584269663
Venous_Insufficiency,0.847170675593762,0.10869565217391304
Average,0.8604358743062575,0.6052430506948198
