Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9716721187309422,0.8823529411764706
CAD,0.872170993258271,0.8926380368098159
CHF,1,1
Depression,0.7806761696110985,0.4588744588744589
Diabetes,0.9364011599602057,0.9546599496221662
Gallstones,0.7717336826431378,0.22727272727272727
GERD,0.6882120883199331,0.35833333333333334
Gout,0.7885865014033386,0.20987654320987656
Hypercholesterolemia,0.8365441506008449,0.8452830188679246
Hypertension,0.9099332639204827,0.9437939110070258
Hypertriglyceridemia,0.8982781698710148,0.0
OA,0.7702724238321514,0.33160621761658027
Obesity,0.9619745836005792,0.9556025369978858
OSA,0.9257885748694511,0.7411764705882353
PVD,0.9184838046001478,0.736842105263158
Venous_Insufficiency,0.8794374029409319,0.24691358024691357
Average,0.8693853180101582,0.6115766144304108
