Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.980587320536146,0.9197080291970803
CAD,0.9231236450823004,0.9361702127659576
CHF,1,1
Depression,0.8526407931914278,0.6238532110091743
Diabetes,0.9489787546325816,0.9632446134347276
Gallstones,0.784521125126055,0.021276595744680854
GERD,0.7631126539408041,0.4262295081967213
Gout,0.8221372567418181,0.1443298969072165
Hypercholesterolemia,0.8626071219829178,0.8665377176015474
Hypertension,0.9324499479403621,0.9578454332552693
Hypertriglyceridemia,nan,nan
OA,0.8077100580454849,0.33333333333333337
Obesity,0.9764016362439482,0.9720430107526882
OSA,0.9334934199804433,0.7564102564102564
PVD,0.9342025429244758,0.7770700636942675
Venous_Insufficiency,0.8817937123198085,0.13793103448275862
Average,nan,nan
