Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9735281643674718,0.8905109489051095
CAD,0.8881064504155027,0.9079939668174962
CHF,1,1
Depression,0.8184483119634434,0.5555555555555557
Diabetes,0.943467697742405,0.9596977329974811
Gallstones,0.7924234600210743,0.24516129032258066
GERD,0.6729025350604791,0.34008097165991896
Gout,0.8029594413110834,0.2097902097902098
Hypercholesterolemia,0.8505173416373308,0.8582230623818525
Hypertension,0.9372605857893352,0.9616724738675959
Hypertriglyceridemia,0.9010390696345886,0.06779661016949153
OA,0.7840802947618153,0.40191387559808617
Obesity,0.972789237707618,0.9678800856531049
OSA,0.9090125452827561,0.6748466257668712
PVD,0.9168731912045822,0.7325581395348838
Venous_Insufficiency,0.8687673097685772,0.17500000000000002
Average,0.8770109772917539,0.621792596813765
