Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9770577424518087,0.9051094890510949
CAD,0.8930353135949431,0.913946587537092
CHF,1,1
Depression,0.8895271364210259,0.7035175879396984
Diabetes,0.9316000566634771,0.9503184713375796
Gallstones,0.7908015187680892,0.0784313725490196
GERD,0.6957227628400263,0.19607843137254902
Gout,0.8115762834135394,0.10101010101010101
Hypercholesterolemia,0.8683588815469828,0.8658536585365852
Hypertension,0.9439082707165781,0.9647887323943661
Hypertriglyceridemia,0.9217988265008207,0.14285714285714288
OA,0.8224137135170068,0.41558441558441556
Obesity,0.9636823587665361,0.956896551724138
OSA,0.9205352693930102,0.7218934911242604
PVD,0.9351242032689638,0.7763157894736842
Venous_Insufficiency,0.8645367995308773,0.03278688524590164
Average,0.8893549460871053,0.6078367942336019
