Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9736949403007602,0.8920863309352518
CAD,0.895348499621367,0.9142857142857143
CHF,1,1
Depression,0.8427401457190467,0.6079295154185022
Diabetes,0.9173103954390117,0.9404309252217997
Gallstones,0.7809923294781655,0.020408163265306124
GERD,0.7081894833434875,0.2619047619047619
Gout,0.8210898459478267,0.14285714285714285
Hypercholesterolemia,0.8705287183310424,0.8707753479125249
Hypertension,0.9351160220834498,0.9586776859504134
Hypertriglyceridemia,0.9139259228210526,0.0
OA,0.8200216723857685,0.4
Obesity,0.9691191886063091,0.9632829373650108
OSA,0.9291618214662942,0.7529411764705882
PVD,0.9402908583250691,0.7919463087248322
Venous_Insufficiency,0.8829643005864932,0.24000000000000005
Average,0.8875308840284466,0.6098453756444905
