Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9770577424518087,0.9051094890510949
CAD,0.9026009046418549,0.9205397301349325
CHF,1,1
Depression,0.8649753496485236,0.6607142857142857
Diabetes,0.943655232674956,0.959493670886076
Gallstones,0.7846416870495704,0.0404040404040404
GERD,0.7224543798697604,0.2709677419354839
Gout,0.8165594916776496,0.10638297872340424
Hypercholesterolemia,0.8765528586872025,0.87890625
Hypertension,0.9421397914274939,0.963572267920094
Hypertriglyceridemia,nan,nan
OA,0.8147425727188897,0.37837837837837834
Obesity,0.9709253191445187,0.9653679653679654
OSA,0.9443116907544848,0.7974683544303798
PVD,0.9389404266060835,0.7894736842105263
Venous_Insufficiency,0.887017391636759,0.21538461538461537
Average,nan,nan
