Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9787540890482066,0.9117647058823529
CAD,0.895348499621367,0.9142857142857143
CHF,1,1
Depression,0.8648250551382237,0.6476190476190475
Diabetes,0.9195049231813937,0.9411764705882352
Gallstones,0.7846416870495704,0.0404040404040404
GERD,0.7256586133077024,0.32
Gout,0.81796111315928,0.1386138613861386
Hypercholesterolemia,0.8566283507069006,0.8582677165354332
Hypertension,0.9456819915033723,0.9660023446658852
Hypertriglyceridemia,0.9131098072231343,0.047619047619047616
OA,0.8052137406307996,0.3356643356643357
Obesity,0.9672909840375835,0.961038961038961
OSA,0.9212365687649935,0.7195121951219512
PVD,0.9393095452331571,0.7922077922077922
Venous_Insufficiency,0.8696557004770848,0.03571428571428572
Average,0.8878012918176732,0.6018681574208263
