Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.7315709769591056,0.7359504950495049
CAD,0.8032200004411945,0.8046153846153846
CHF,1,1
Depression,0.6018701694812414,0.6076086956521738
Diabetes,0.7454886279683011,0.7488924050632912
Gallstones,0.6337306856521904,0.6392350999805863
GERD,0.5663233767859444,0.5711171171171171
Gout,0.6133473215952778,0.618670649738611
Hypercholesterolemia,0.6209545378061312,0.6260885341074018
Hypertension,0.5905515881611331,0.6040218878248973
Hypertriglyceridemia,0.7298018864679994,0.7319737919737919
OA,0.6622588038482315,0.6647449096316633
Obesity,0.6478358264159937,0.6514336917562724
OSA,0.6639096668253643,0.6670937682003493
PVD,0.7214564142929464,0.7260237931823382
Venous_Insufficiency,0.7264894804639912,0.7282646048109965
Average,0.6911755851978154,0.6953584267940238
