Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.979828380028281,0.9800495049504949
CAD,0.9282798701735271,0.9292307692307693
CHF,1,1
Depression,0.9350935974535666,0.9358695652173912
Diabetes,0.9632561083087923,0.9634335443037975
Gallstones,0.9405799296095259,0.9416812269462239
GERD,0.8934039636499256,0.8951711711711712
Gout,0.954819793537314,0.9555545182972367
Hypercholesterolemia,0.8406073446348034,0.8435776487663281
Hypertension,0.9444630191090099,0.9451983584131327
Hypertriglyceridemia,0.9835998396385106,0.9837592137592137
OA,0.9388707077004431,0.9399794097460534
Obesity,0.9478753362917006,0.9490527393753201
OSA,0.9746855338883039,0.9752960590176665
PVD,0.9682188615750185,0.9691031800503318
Venous_Insufficiency,0.9768754545637964,0.9772014604810997
Average,0.9481536087601573,0.9490098981078895
