Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.9888628096539887,0.989019801980198
CAD,0.9266441020391909,0.9276923076923078
CHF,1,1
Depression,0.9339450018380673,0.9347826086956521
Diabetes,0.9771615914904839,0.9772943037974684
Gallstones,0.9294916354225806,0.9308289652494661
GERD,0.877896163015734,0.879045045045045
Gout,0.9548711662946365,0.955563853622106
Hypercholesterolemia,0.8845109536038042,0.8872641509433963
Hypertension,0.9610438529632302,0.9615184678522573
Hypertriglyceridemia,0.9836073013237844,0.9837510237510237
OA,0.9257431596498952,0.9271219400594829
Obesity,0.9771596670227283,0.9777009728622632
OSA,0.9736740853175949,0.974296253154727
PVD,0.975896847083613,0.9765614275909403
Venous_Insufficiency,0.9736143705713205,0.9741194158075602
Average,0.952757669205666,0.9535350336314934
