Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.9888723285926598,0.9890297029702971
CAD,0.9389474022425208,0.9400000000000001
CHF,1,1
Depression,0.9092443071647607,0.9108695652173914
Diabetes,0.9683058755531386,0.9684651898734178
Gallstones,0.857535894963339,0.8596971461852068
GERD,0.7402196324262016,0.741945945945946
Gout,0.9193357007338859,0.9208271097834204
Hypercholesterolemia,0.8926897673660446,0.8949201741654571
Hypertension,0.9409024171738372,0.941641586867305
Hypertriglyceridemia,0.671735481949324,0.6859213759213758
OA,0.8293632069992004,0.8318691374971403
Obesity,0.9786921977383638,0.9792882744495648
OSA,0.9718348203016596,0.9723354688410017
PVD,0.9671790083394933,0.9680164722031573
Venous_Insufficiency,0.9548781324503356,0.955433848797251
Average,0.9081085108746729,0.9100163124198709
