Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.9858544650306131,0.986029702970297
CAD,0.9296241083164795,0.9307692307692308
CHF,1,1
Depression,0.9340410672351955,0.9347826086956523
Diabetes,0.9746854729777459,0.9748101265822786
Gallstones,0.937373030528202,0.938710929916521
GERD,0.861146741753072,0.8628648648648649
Gout,0.9547324277758398,0.9555451829723672
Hypercholesterolemia,0.8805051039167416,0.8834179970972423
Hypertension,0.9645956186750639,0.9650068399452805
Hypertriglyceridemia,0.9836292216777004,0.9837674037674036
OA,0.929220663273812,0.930393502630977
Obesity,0.9722213506518695,0.9729134664618535
OSA,0.971820933294239,0.9723548825470782
PVD,0.9737397795880801,0.9744337680164723
Venous_Insufficiency,0.9726847388971744,0.9730562714776632
Average,0.9516171702244893,0.9524285486696991
