Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.9458825074080595,0.9462475247524751
CAD,0.833708706230919,0.8353846153846153
CHF,1,1
Depression,0.8123436722700464,0.8141304347826086
Diabetes,0.8534749567855352,0.8548101265822785
Gallstones,0.791317799121701,0.7963308095515433
GERD,0.7306450894540936,0.7325045045045044
Gout,0.8472969436981547,0.8494118745332336
Hypercholesterolemia,0.6998264686763511,0.702322206095791
Hypertension,0.8307623535154935,0.8341586867305061
Hypertriglyceridemia,0.936954111529281,0.9377067977067975
OA,0.8192820683847628,0.8222603523221231
Obesity,0.7033633348092858,0.7053763440860215
OSA,0.9317604754194573,0.9328188701223065
PVD,0.920798844542259,0.9222374742621824
Venous_Insufficiency,0.933853683921299,0.9346542096219931
Overall-Average,0.8494544384854186,0.8512721769399362
