Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.889467966621847,0.8904158415841585
CAD,0.8287426858018728,0.8307692307692307
CHF,1,1
Depression,0.7184798767201159,0.7217391304347827
Diabetes,0.7989916674058178,0.8044145569620254
Gallstones,0.6607271629396564,0.6639390409629198
GERD,0.603647670719203,0.6088468468468468
Gout,0.7570321867854495,0.7585978342046303
Hypercholesterolemia,0.7135911438167076,0.7174891146589261
Hypertension,0.715084427661199,0.7184815321477428
Hypertriglyceridemia,0.8379607726969063,0.8393202293202293
OA,0.7056237794870769,0.7098146877144819
Obesity,0.7037388435996507,0.7054019457245263
OSA,0.8738781665504858,0.8765385362065619
PVD,0.8427093828764025,0.8454243880118966
Venous_Insufficiency,0.8591556012769855,0.8610395189003437
Overall-Average,0.781801958434961,0.7845145271530813
