Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.7726060465608121,0.7837227722772278
CAD,0.814656099131611,0.8184615384615384
CHF,1,1
Depression,0.6901306844702615,0.692391304347826
Diabetes,0.7647246179837952,0.7764715189873417
Gallstones,0.5929852273320775,0.6067268491555038
GERD,0.5400826589784009,0.5417117117117118
Gout,0.614361175279739,0.6369865571321882
Hypercholesterolemia,0.6317428362334333,0.6584179970972424
Hypertension,0.6609238966162387,0.667140902872777
Hypertriglyceridemia,0.3432998579818605,0.47842751842751846
OA,0.6008130620584126,0.6293182338137726
Obesity,0.6372659538346304,0.6480286738351254
OSA,0.8047780388003659,0.8122500485342652
PVD,0.7874269104549467,0.7943033630748112
Venous_Insufficiency,0.5598408954770911,0.6182023195876288
Overall-Average,0.6759773725746048,0.6976600818322799
