Morbidity Class,DL_Macro_F1_word2vec,DL_Micro_F1_word2vec,DL_Macro_F1_glove,DL_Micro_F1_glove,DL_Macro_F1_fasttext,DL_Micro_F1_fasttext,DL_Macro_F1_USE,DL_Micro_F1_USE
Asthma,0.837062937062937,0.9523809523809523,0.7787296037296036,0.9238095238095239,0.837062937062937,0.9523809523809523,0.837062937062937,0.9523809523809523
CAD,0.3802272727272727,0.5642857142857143,0.5477380952380952,0.6309523809523809,0.3510606060606061,0.5476190476190477,0.807936507936508,0.8214285714285714
CHF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Depression,0.6665501165501164,0.880952380952381,0.6557925407925407,0.85,0.6665501165501164,0.880952380952381,0.6665501165501164,0.880952380952381
Diabetes,0.3410858585858586,0.4619047619047619,0.459484126984127,0.4928571428571429,0.3327525252525253,0.44523809523809516,0.6523809523809523,0.6880952380952381
Gallstones,0.655128205128205,0.85,0.6194289044289044,0.819047619047619,0.655128205128205,0.85,0.6506410256410257,0.8357142857142857
GERD,0.7163636363636364,0.8833333333333334,0.47184343434343434,0.7366666666666667,0.6662626262626263,0.8800000000000001,0.6662626262626263,0.8800000000000001
Gout,0.7777622377622377,0.9214285714285715,0.723916083916084,0.9071428571428571,0.7777622377622377,0.9214285714285715,0.7777622377622377,0.9214285714285715
Hypercholesterolemia,0.4631060606060606,0.7266666666666667,0.4947943722943723,0.7066666666666668,0.4631060606060606,0.7266666666666667,0.5369011544011545,0.7133333333333333
Hypertension,0.5195202020202021,0.74,0.6120815295815296,0.74,0.5195202020202021,0.74,0.6635497835497837,0.7466666666666668
Hypertriglyceridemia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OA,0.6110372960372961,0.8619047619047618,0.5283449883449884,0.8142857142857143,0.6110372960372961,0.8619047619047618,0.6504895104895105,0.8357142857142857
Obesity,0.37102813852813854,0.5642857142857143,0.42334776334776336,0.5023809523809524,0.40072510822510826,0.5785714285714285,0.6528535353535354,0.7119047619047618
OSA,0.5984265734265733,0.8238095238095238,0.5168181818181818,0.730952380952381,0.6037296037296036,0.8380952380952381,0.658181818181818,0.8357142857142857
PVD,0.7286713286713286,0.9214285714285715,0.5513053613053612,0.8285714285714286,0.7286713286713286,0.9214285714285715,0.7286713286713286,0.9214285714285715
Venous-Insufficiency,0.890909090909091,0.9666666666666668,0.8363636363636363,0.95,0.890909090909091,0.9666666666666668,0.890909090909091,0.9666666666666668
