Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.8820925041590675,0.8933333333333333
CAD,0.5914285714285714,0.6035714285714284
CHF,1,1
Depression,0.8727092893346763,0.8796703296703298
Diabetes,0.638611111111111,0.6541666666666666
Gallstones,0.8602208953756941,0.868131868131868
GERD,0.8286038961038962,0.8363636363636363
Gout,0.7375977651519448,0.7495238095238095
Hypercholesterolemia,0.6860056610056608,0.72
Hypertension,0.7461161061161061,0.7633333333333334
Hypertriglyceridemia,1,1
OA,0.7923739822269233,0.8057692307692308
Obesity,0.5972366522366522,0.6513888888888889
OSA,0.824669382904677,0.8384615384615385
PVD,0.8955054259466024,0.904945054945055
Venous_Insufficiency,0.8882484255510572,0.8952380952380954
Average,0.80258872929079,0.8164935758685758
