Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9475840928936904,0.950952380952381
CAD,0.7188275613275613,0.7321428571428571
CHF,1,1
Depression,0.8876053603259486,0.893956043956044
Diabetes,0.6738492063492064,0.6791666666666667
Gallstones,0.917681068931069,0.932967032967033
GERD,0.8517917295123176,0.8636363636363636
Gout,0.9482685941509471,0.9514285714285714
Hypercholesterolemia,0.6976391663891663,0.72
Hypertension,0.800556943056943,0.8144444444444444
Hypertriglyceridemia,1,1
OA,0.8827280236103766,0.8910256410256411
Obesity,0.4982539682539683,0.5291666666666667
OSA,0.8888458845076492,0.8923076923076924
PVD,0.970051247771836,0.9708791208791208
Venous_Insufficiency,0.9535331825037707,0.9585714285714285
Average,0.8523260018490281,0.8612903069153067
