Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9570444884492872,0.959047619047619
CAD,0.6490656565656565,0.6625
CHF,1,1
Depression,0.8783054037465803,0.8862637362637363
Diabetes,0.7218722943722944,0.7319444444444445
Gallstones,0.8873330835830835,0.9027472527472528
GERD,0.9201190476190476,0.9272727272727274
Gout,0.9093544089209725,0.9152380952380954
Hypercholesterolemia,0.7375592463092462,0.76
Hypertension,0.8899314574314573,0.8988888888888888
Hypertriglyceridemia,1,1
OA,0.8703449869703739,0.8756410256410257
Obesity,0.6431945831945832,0.6972222222222222
OSA,0.9209086338498104,0.9230769230769231
PVD,0.949380602702214,0.956043956043956
Venous_Insufficiency,0.9690227419639184,0.9719047619047618
Average,0.8689647897299078,0.8792369782994783
