Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.9050565284388814,0.9080952380952381
CAD,0.6176587301587302,0.6214285714285714
CHF,1,1
Depression,0.9026820504916481,0.9093406593406593
Diabetes,0.5745870795870796,0.6069444444444445
Gallstones,0.8505521357727241,0.8714285714285713
GERD,0.8688633588633587,0.8727272727272727
Gout,0.8860640443148183,0.8895238095238096
Hypercholesterolemia,0.7509301809301808,0.76
Hypertension,0.8283580308580308,0.8377777777777776
Hypertriglyceridemia,1,1
OA,0.7953978039504355,0.8044871794871795
Obesity,0.476998556998557,0.5152777777777777
OSA,0.8764550800077116,0.8846153846153847
PVD,0.8696455423661306,0.8774725274725276
Venous_Insufficiency,0.9928205128205129,0.9928571428571429
Average,0.824754352222425,0.8344985223110222
