Morbidity Class,DT_Macro F1,DT_Micro F1
Asthma,0.8961038961038961,0.3333333333333333
CAD,0.5464078946346816,0.5074626865671641
CHF,1,1
Depression,0.8539086687306501,0.37499999999999994
Diabetes,0.5596566851873098,0.6804123711340206
Gallstones,nan,nan
GERD,0.7535919540229885,0.12500000000000003
Gout,0.873180873180873,0.0
Hypercholesterolemia,0.5945745076179859,0.0
Hypertension,0.7410902822667528,0.8431372549019608
Hypertriglyceridemia,1,1
OA,0.7414743529851443,0.0
Obesity,0.44382440476190477,0.0625
OSA,0.6965174129353233,0.0
PVD,nan,nan
Venous_Insufficiency,nan,nan
Asthma,0.8961038961038961,0.3333333333333333
CAD,0.5464078946346816,0.5074626865671641
CHF,1,1
Depression,0.8539086687306501,0.37499999999999994
Diabetes,0.5596566851873098,0.6804123711340206
Gallstones,nan,nan
GERD,0.7535919540229885,0.12500000000000003
Gout,0.873180873180873,0.0
Hypercholesterolemia,0.5945745076179859,0.0
Hypertension,0.7410902822667528,0.8431372549019608
Hypertriglyceridemia,1,1
OA,0.7414743529851443,0.0
Obesity,0.44382440476190477,0.0625
OSA,0.6965174129353233,0.0
PVD,nan,nan
Venous_Insufficiency,nan,nan
Average,nan,nan
