Morbidity Class,KNN1_Macro F1,KNN1_Micro F1,KNN5_Macro F1,KNN5_Micro F1
Asthma,0.8972188024393908,0.9028571428571428,0.8071921727223585,0.8252380952380951
CAD,0.7259271284271284,0.7357142857142857,0.7119841269841269,0.7196428571428571
CHF,1,1,1,1
Depression,0.8254166666666667,0.8406593406593407,0.7677587853323147,0.7895604395604396
Diabetes,0.6117424242424242,0.6263888888888889,0.653961038961039,0.6597222222222222
Gallstones,0.8460410422910423,0.8582417582417582,0.7096711458476165,0.7532967032967034
GERD,0.8088352007469654,0.8363636363636363,0.7137723959047488,0.7454545454545455
Gout,0.9006843281417586,0.9038095238095238,0.8097514375029856,0.8209523809523809
Hypercholesterolemia,0.7488167388167388,0.77,0.6223844211344212,0.6599999999999999
Hypertension,0.8414653402153404,0.857777777777778,0.7369692807192807,0.7666666666666667
Hypertriglyceridemia,1,1,1,1
OA,0.7695424093450409,0.7878205128205129,0.6778940667175961,0.7102564102564103
Obesity,0.6897519147519148,0.7208333333333333,0.6218215118215118,0.6611111111111111
OSA,0.832596084685868,0.8461538461538461,0.7561190353334316,0.7769230769230768
PVD,0.8891843828685936,0.8989010989010989,0.7608826703911843,0.781868131868132
Venous_Insufficiency,0.9513553113553114,0.9514285714285714,0.8908674710222698,0.8952380952380953
Average,0.7976167043042527,0.8098312017843268,0.7650643475246804,0.785370670995671
