Morbidity Class,KNN1_Macro F1,KNN1_Micro F1,KNN5_Macro F1,KNN5_Micro F1
Asthma,0.8889355600539812,0.8952380952380954,0.7992821123104472,0.8314285714285715
CAD,0.7121212121212122,0.7321428571428571,0.7443650793650795,0.7535714285714286
CHF,1,1,1,1
Depression,0.8621091490209137,0.8714285714285716,0.6946850535085829,0.7274725274725274
Diabetes,0.6966253191253191,0.7097222222222223,0.6520329670329671,0.6625
Gallstones,0.7769029581529582,0.8131868131868132,0.7304315713526239,0.7681318681318681
GERD,0.7716171818377701,0.7909090909090909,0.6482111434317318,0.6818181818181818
Gout,0.8659681138435008,0.8752380952380954,0.6605980130980131,0.6966666666666667
Hypercholesterolemia,0.6301759351759352,0.69,0.5326298701298702,0.6100000000000001
Hypertension,0.7977057664557664,0.8177777777777779,0.7368976856476855,0.7577777777777779
Hypertriglyceridemia,1,1,1,1
OA,0.7504657915184231,0.7743589743589744,0.6289074010784537,0.6807692307692308
Obesity,0.6889676989676989,0.7402777777777778,0.5228625541125541,0.5833333333333334
OSA,0.8677432341480328,0.8846153846153845,0.8015376913248431,0.823076923076923
PVD,0.7832567514185163,0.7956043956043957,0.5750682633499972,0.6362637362637362
Venous_Insufficiency,0.9765093729799613,0.9790476190476192,0.9264514652014653,0.93
Average,0.7890836793576005,0.8039200079434454,0.7283725544340197,0.7589256403318904
