Morbidity Class,KNN1_Macro F1,KNN1_Micro F1,KNN5_Macro F1,KNN5_Micro F1
Asthma,0.8379080847772797,0.8447619047619048,0.7799212625180119,0.7876190476190476
CAD,0.5876587301587302,0.5964285714285714,0.5848015873015874,0.5982142857142858
CHF,1,1,1,1
Depression,0.8048914230764076,0.8186813186813188,0.8034926034577736,0.8192307692307692
Diabetes,0.4117099567099567,0.4333333333333333,0.501991341991342,0.5277777777777778
Gallstones,0.8553228307640073,0.8587912087912087,0.7165867139396551,0.7313186813186813
GERD,0.7291722166722167,0.7363636363636364,0.7452394827394826,0.7545454545454545
Gout,0.7437315462315462,0.7504761904761905,0.7221818622553917,0.7304761904761905
Hypercholesterolemia,0.7425246975246975,0.76,0.6961949161949162,0.7100000000000001
Hypertension,0.8069097569097569,0.818888888888889,0.817562715062715,0.8277777777777778
Hypertriglyceridemia,1,1,1,1
OA,0.788312937062937,0.798076923076923,0.7699675324675324,0.7891025641025642
Obesity,0.4430402930402931,0.4930555555555555,0.4493706293706293,0.5111111111111111
OSA,0.7423553407376938,0.7538461538461538,0.768877282847871,0.7769230769230769
PVD,0.8771757898963781,0.8906593406593407,0.849164871076636,0.8675824175824175
Venous_Insufficiency,0.8144431591800012,0.8242857142857142,0.769282467188814,0.7885714285714286
Average,0.7615722976713689,0.7736030462592962,0.7484147042757725,0.7637656614219114
