Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.7744075369075369,0.7823809523809523
CAD,0.6789430014430013,0.6910714285714284
CHF,1,1
Depression,0.67120102850366,0.682967032967033
Diabetes,0.5781601731601731,0.5958333333333334
Gallstones,0.6604853153382566,0.6791208791208792
GERD,0.7196124708624708,0.7272727272727273
Gout,0.7915076671694319,0.7995238095238095
Hypercholesterolemia,0.6171411921411921,0.6399999999999999
Hypertension,0.6820274170274171,0.6966666666666668
Hypertriglyceridemia,1,1
OA,0.7386856280973928,0.742948717948718
Obesity,0.4524314574314575,0.47916666666666663
OSA,0.7239288154226234,0.7384615384615385
PVD,0.7841599301970819,0.7972527472527473
Venous_Insufficiency,0.9864253393665159,0.9866666666666667
Average,0.741194810816763,0.7524583229270729
