Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.671868131868132,0.8982142857142857
CAD,0.774541847041847,0.7857142857142858
CHF,1,1
Depression,0.6193489843489843,0.7642857142857143
Diabetes,0.6195887445887445,0.6517857142857142
Gallstones,0.6694655344655345,0.8446428571428571
GERD,0.5351065601065599,0.7690476190476191
Gout,0.6091391941391943,0.8571428571428571
Hypercholesterolemia,0.5935064935064934,0.6666666666666667
Hypertension,0.5913636363636363,0.669047619047619
Hypertriglyceridemia,1,1
OA,0.5246420246420247,0.7946428571428571
Obesity,0.7089682539682539,0.7339285714285715
OSA,0.6767365967365968,0.7982142857142857
PVD,0.6784615384615386,0.9196428571428573
Venous_Insufficiency,0.8923076923076924,0.9714285714285715
Average,0.697815327034077,0.8202752976190476
