Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.6794871794871795,0.9232142857142858
CAD,0.290479797979798,0.425
CHF,1,1
Depression,0.5634981684981686,0.8678571428571427
Diabetes,0.3614119214119214,0.5821428571428571
Gallstones,0.6140476190476191,0.8714285714285713
GERD,0.6012470862470861,0.8333333333333333
Gout,0.729010989010989,0.9232142857142858
Hypercholesterolemia,0.5157575757575759,0.7238095238095239
Hypertension,0.5227700077700077,0.7595238095238095
Hypertriglyceridemia,1,1
OA,0.5513553113553114,0.8339285714285716
Obesity,0.36040792540792543,0.5678571428571428
OSA,0.5526007326007326,0.8357142857142857
PVD,0.6784615384615386,0.9196428571428573
Venous_Insufficiency,0.8923076923076924,0.9714285714285715
Average,0.6195527215839717,0.8148809523809524
