Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,0.8757326140491776,0.8799999999999999
CAD,0.6318650793650793,0.6375
CHF,1,1
Depression,0.7649474699706897,0.7802197802197803
Diabetes,0.6431549006549007,0.6652777777777777
Gallstones,0.8928385503385504,0.9027472527472528
GERD,0.7739245476745477,0.7818181818181819
Gout,0.7401530495648143,0.7495238095238095
Hypercholesterolemia,0.6863178488178489,0.7200000000000001
Hypertension,0.7466969141969143,0.7677777777777779
Hypertriglyceridemia,1,1
OA,0.7898613447955553,0.7974358974358975
Obesity,0.6068742368742368,0.6722222222222223
OSA,0.7712006620830151,0.7846153846153847
PVD,0.8900964146680259,0.8978021978021978
Venous_Insufficiency,0.8064475518461587,0.8166666666666668
Average,0.7887569490562197,0.8033504342879344
