Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,1.0,1.0
CAD,0.7702777777777778,0.7749999999999999
CHF,1,1
Depression,0.9768315018315018,0.976923076923077
Diabetes,0.6693903318903319,0.6833333333333333
Gallstones,0.9851282051282052,0.9851648351648352
GERD,0.9325184619302267,0.9454545454545453
Gout,0.9925133689839573,0.9928571428571429
Hypercholesterolemia,0.8441919191919192,0.85
Hypertension,0.8787501387501389,0.8877777777777778
Hypertriglyceridemia,1,1
OA,0.9675757575757575,0.9679487179487181
Obesity,0.5895924908424908,0.6569444444444444
OSA,0.9613553113553113,0.9615384615384617
PVD,0.9775378787878788,0.9780219780219781
Venous_Insufficiency,1.0,1.0
Average,0.9091039465028434,0.9163102695915196
