Morbidity Class,RF_Macro F1,RF_Micro F1
Asthma,1.0,1.0
CAD,0.7410317460317462,0.7482142857142857
CHF,1,1
Depression,0.9760270774976657,0.976923076923077
Diabetes,0.7441414141414142,0.7527777777777778
Gallstones,1.0,1.0
GERD,1.0,1.0
Gout,1.0,1.0
Hypercholesterolemia,0.8831356143856144,0.9000000000000001
Hypertension,0.9235853035853037,0.928888888888889
Hypertriglyceridemia,1,1
OA,0.9733372234920223,0.9762820512820513
Obesity,0.686933621933622,0.711111111111111
OSA,0.9765501165501165,0.976923076923077
PVD,0.9784615384615385,0.9785714285714284
Venous_Insufficiency,1.0,1.0
Average,0.9302002285049402,0.934355731074481
