Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.919940296631473,0.9223809523809525
CAD,0.7361255411255411,0.7446428571428572
CHF,1,1
Depression,0.7992169431875314,0.8115384615384615
Diabetes,0.6073160173160174,0.6152777777777778
Gallstones,0.9183071095571096,0.9258241758241759
GERD,0.8050100389806272,0.8181818181818181
Gout,0.9932126696832579,0.9933333333333334
Hypercholesterolemia,0.7294354256854256,0.75
Hypertension,0.7496844821844822,0.7566666666666667
Hypertriglyceridemia,1,1
OA,0.8503155740887939,0.8589743589743589
Obesity,0.5690520590520591,0.6
OSA,0.8560314277226041,0.8615384615384615
PVD,0.9272036297036298,0.9280219780219781
Venous_Insufficiency,1.0,1.0
Average,0.8413032009324095,0.8491488025863027
