Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.6789743589743591,0.9214285714285715
CAD,0.7528751803751804,0.7678571428571428
CHF,1,1
Depression,0.5880219780219781,0.8410714285714285
Diabetes,0.6622061272061273,0.7017857142857143
Gallstones,0.6795937395937396,0.8732142857142857
GERD,0.5961810411810412,0.85
Gout,0.6706776556776558,0.8946428571428571
Hypercholesterolemia,0.5223953823953824,0.6095238095238096
Hypertension,0.45479020979020984,0.6833333333333333
Hypertriglyceridemia,1,1
OA,0.5387545787545788,0.7964285714285715
Obesity,0.6590223665223665,0.6910714285714286
OSA,0.7400932400932401,0.8857142857142858
PVD,0.6784615384615386,0.9196428571428573
Venous_Insufficiency,0.8923076923076924,0.9714285714285715
Average,0.6946471930846931,0.8379464285714285
