Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.6962666912550813,0.7166666666666668
CAD,0.3704978354978355,0.4196428571428571
CHF,1,1
Depression,0.6060402097902099,0.6142857142857144
Diabetes,0.3147752247752248,0.40694444444444444
Gallstones,0.5197640921170332,0.5285714285714286
GERD,0.6059426684426684,0.6272727272727273
Gout,0.6751655108737152,0.6885714285714285
Hypercholesterolemia,0.3299045399045399,0.38
Hypertension,0.515017205017205,0.53
Hypertriglyceridemia,1,1
OA,0.3806807571513454,0.43910256410256404
Obesity,0.44934343434343427,0.4708333333333333
OSA,0.33709736685742875,0.4153846153846154
PVD,0.5086690910568621,0.5664835164835165
Venous_Insufficiency,0.6747801544860369,0.7109523809523809
Average,0.5614965488480388,0.5946694798257299
